Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.685019	8.57645e-05	5471.39	7987.2
1/delta	0.00137865	3.47347e-10	5472.02	3.9691e+06
nu	0.0205446	5.17742e-09	81523.3	3.96812e+06
40	1.33234e-05	8.15704e-12	21.762	1.63337e+06
59	8.1386e-06	4.97523e-12	13.3133	1.63582e+06
62	9.40006e-06	5.71495e-12	15.4614	1.64482e+06
63	2.37859e-05	1.52698e-11	37.0516	1.55771e+06
65	1.52698e-05	9.24919e-12	25.2095	1.65094e+06
71	2.30614e-05	1.39894e-11	38.0165	1.64849e+06
72	2.93581e-06	1.77771e-12	4.84837	1.65146e+06
73	0.000198293	1.32765e-10	296.162	1.49356e+06
74	0.000227861	1.51079e-10	343.668	1.50823e+06
75	5.24722e-05	3.32139e-11	82.8972	1.57983e+06
77	4.1015e-06	2.48419e-12	6.77176	1.65104e+06
78	4.11585e-06	2.49347e-12	6.79383	1.65065e+06
89	5.59414e-05	3.5286e-11	88.6877	1.58537e+06
94	6.4221e-06	3.88916e-12	10.6047	1.65128e+06
97	6.25485e-05	4.19754e-11	93.2049	1.49012e+06
110	2.90713e-05	1.78091e-11	47.4557	1.63239e+06
113	1.83244e-05	1.11694e-11	30.0628	1.64058e+06
202	6.22753e-05	3.99725e-11	97.022	1.55795e+06
203	5.9003e-05	3.64342e-11	95.5517	1.61944e+06
211	0.00022073	1.68496e-10	289.156	1.31e+06
49	1.76126e-05	1.06674e-11	29.0797	1.65107e+06
175	0.000137122	8.9188e-11	210.818	1.53745e+06
183	0.000766619	5.80157e-10	1013.01	1.3214e+06
210	1.89373e-05	1.1471e-11	31.2634	1.65089e+06
48	2.80595e-05	1.7486e-11	45.0264	1.60468e+06
87	2.99063e-05	1.85227e-11	48.2859	1.61457e+06
99	2.26737e-05	1.41795e-11	36.2565	1.59905e+06
NODE_28	0.000219293	1.47646e-10	325.706	1.48526e+06
NODE_29	6.05615e-07	3.66759e-13	1.00003	1.65126e+06
NODE_30	8.81856e-06	5.3501e-12	14.5356	1.6483e+06
NODE_31	5.8422e-05	3.70879e-11	92.028	1.57523e+06
NODE_32	6.23304e-06	3.80329e-12	10.2151	1.63885e+06
NODE_33	1.86657e-05	1.15289e-11	30.2205	1.61904e+06
NODE_34	2.92407e-05	1.81304e-11	47.1593	1.6128e+06
NODE_35	0.000119467	7.53455e-11	189.425	1.58559e+06
NODE_36	6.13512e-05	3.90653e-11	96.3505	1.57048e+06
NODE_37	0.000187338	1.24548e-10	281.783	1.50414e+06
NODE_38	7.61964e-05	4.79507e-11	121.08	1.58906e+06
NODE_39	4.87224e-05	3.02615e-11	78.4453	1.61004e+06
NODE_40	6.10495e-05	3.77871e-11	98.6324	1.61561e+06
NODE_41	0.000338628	2.26563e-10	506.124	1.49463e+06
NODE_42	2.12412e-05	1.30972e-11	34.4492	1.62181e+06
NODE_43	4.19234e-05	2.57095e-11	68.3625	1.63065e+06
NODE_44	0.000560511	3.95004e-10	795.367	1.419e+06
NODE_45	0.00020253	1.30862e-10	313.449	1.54767e+06
NODE_46	0.000280362	1.8782e-10	418.501	1.49272e+06
NODE_47	0.00012682	8.30307e-11	193.704	1.52739e+06
NODE_48	0.000131696	8.30942e-11	208.724	1.5849e+06
NODE_49	0.000256844	1.71006e-10	385.768	1.50195e+06
NODE_50	8.86922e-05	5.56067e-11	141.463	1.59499e+06
NODE_51	0.000382533	2.80475e-10	521.728	1.36388e+06
