                   mig.dist  mig.behav  geo.range
Sylvia_abyssinica         0      resid       trop
Sylvia_atricapilla     5000      short   temptrop
Sylvia_borin           7500       long   temptrop
Sylvia_nisoria         5900       long   temptrop
Sylvia_curruca         5500       long   temptrop
Sylvia_hortensis       3400       long   temptrop
Sylvia_crassirostris   2600       long   temptrop
Sylvia_leucomelaena       0      resid       trop
Sylvia_buryi              0      resid       trop
Sylvia_lugens             0      resid       trop
Sylvia_layardi            0      resid       trop
Sylvia_subcaeruleum       0      resid       trop
Sylvia_boehmi             0      resid       trop
Sylvia_nana            2600      short   temptrop
Sylvia_deserti            0      resid       temp
Sylvia_communis        6500       long   temptrop
Sylvia_conspicillata   1500      short   temptrop
Sylvia_deserticola      500      resid       temp
Sylvia_undata           300      resid       temp
Sylvia_sarda            300      resid       temp
Sylvia_balearica          0      resid       temp
Sylvia_cantillans      3500       long   temptrop
Sylvia_mystacea        2000       long   temptrop
Sylvia_melanocephala    300      short   temptrop
Sylvia_rueppelli       2400       long   temptrop
Sylvia_melanothorax    1200      resid       temp
