Node	Beg	End
104	1	2615
104	4240	6490
104	47123	50132
104	51895	55329
104	56426	58255
104	101378	101802
104	142322	147617
104	237844	238961
104	240950	245038
104	265689	269997
104	270829	272349
104	274253	278252
104	357300	359082
104	593821	594377
104	603293	605021
104	721000	722576
104	853760	856973
104	922048	922482
104	923604	924220
104	1002636	1004951
104	1097922	1099893
104	1118377	1119367
104	1187965	1195501
104	1224775	1227860
104	1236677	1238199
104	1240342	1241827
104	1254749	1260268
104	1261988	1263524
104	1265437	1267621
104	1268874	1270280
104	1271932	1272520
104	1274152	1278451
104	1290637	1297640
104	1300825	1308786
104	1455293	1455383
104	1626837	1629307
104	1640180	1640315
111	137278	138133
111	199862	211498
111	212368	213053
111	279067	280199
111	550764	557437
111	575371	576944
111	578345	587398
111	591552	608749
111	1179617	1180734
111	1183636	1184470
111	1185654	1192291
111	1259800	1260560
111	1263618	1263648
111	1455247	1455254
79	97855	100286
79	998142	998754
79	1001474	1003624
79	1048804	1059662
79	1066656	1066868
79	1082492	1087041
79	1261123	1261137
79	1272526	1272805
79	1458887	1461612
79	1462652	1462881
79	1466193	1466385
79	1626806	1629431
79	1634413	1634662
114	1	393
114	8848	10117
114	47176	56699
114	58021	58726
114	73972	75818
114	184190	184753
114	238476	239117
114	240950	241339
114	256243	258271
114	261666	262026
114	414138	419136
114	578777	587406
114	591567	594637
114	633808	644566
114	717068	717074
114	721794	724647
114	743634	743917
114	745743	745757
114	1001323	1008665
114	1010060	1012885
114	1116554	1121860
114	1184160	1184628
114	1185530	1187000
114	1188546	1192758
114	1267395	1267578
114	1268874	1269472
114	1306029	1307076
114	1308339	1308526
114	1337132	1338616
114	1382990	1387037
114	1639940	1641030
82	148672	148688
82	1275883	1278451
82	1455190	1455322
100	1	393
100	8848	10117
100	17206	18511
100	49976	50123
100	52963	56699
100	58021	58726
100	80726	82594
100	84835	90315
100	91134	93488
100	128875	129712
100	133614	133767
100	138020	138259
100	139984	140227
100	142043	146289
100	163903	172552
100	178054	179038
100	180864	182581
100	240950	241339
100	255910	256189
100	258157	259946
100	265689	267129
100	541255	542151
100	544079	548731
100	589381	590400
100	593821	594377
100	667225	681395
100	687916	688684
100	707703	721145
100	743613	746939
100	929182	938189
100	989735	990858
100	992978	994832
100	997278	1000702
100	1001698	1005526
100	1009260	1010321
100	1118377	1127953
100	1128867	1132781
100	1154822	1154980
100	1159206	1164518
100	1166845	1172045
100	1188246	1191116
100	1203101	1204995
100	1208256	1215839
100	1217439	1220461
100	1222690	1228307
100	1229465	1229525
100	1236803	1246627
100	1267395	1267605
100	1268658	1269469
100	1270522	1270924
100	1275150	1287667
100	1294294	1309388
100	1310590	1311729
100	1312869	1313822
100	1314769	1318954
100	1344285	1347362
100	1382608	1387088
100	1455246	1455388
100	1491170	1491425
100	1495616	1496711
100	1519735	1528158
100	1554025	1554890
100	1639940	1641030
57	97105	97972
57	104845	105304
57	145336	146577
57	148672	148971
57	209781	211858
57	215074	215166
57	229152	229319
57	256228	258166
57	260152	261051
57	262026	262137
57	265258	265381
57	268144	273264
57	274259	274302
57	617801	617881
57	618917	620167
57	643956	644011
57	765915	766183
57	982288	982778
57	983942	984736
57	1099575	1100624
57	1111260	1118512
57	1124651	1124730
57	1150764	1150782
57	1187480	1189840
57	1291865	1293115
57	1301410	1302836
57	1304594	1305414
57	1306410	1308786
57	1422764	1429743
57	1450273	1479243
57	1491681	1492598
112	1142163	1146271
112	1147239	1148985
112	1275625	1280284
112	1455240	1455315
81	6172	9346
81	10459	12292
81	17239	22556
81	24844	27068
81	28468	38764
81	46960	55592
81	58021	58435
81	60309	61702
81	64697	70103
81	73537	76040
81	79290	86982
81	88052	98799
81	106074	108352
81	130952	138976
81	142662	146584
81	159427	160136
81	170320	172429
81	181537	196669
81	201292	201858
81	204504	208477
81	211125	212656
81	213977	215882
81	237817	239873
81	240662	241996
81	264835	270576
81	274374	278252
81	281287	282454
81	283753	288597
81	305619	317628
81	320356	323440
81	327343	336648
81	339157	347112
81	348103	356804
81	357659	357776
81	359029	359932
81	417539	423402
81	424517	428681
81	440254	445208
81	476663	477928
81	507384	508498
81	524575	527407
81	531171	541586
81	560613	561797
81	564653	566389
81	568787	569697
81	579016	580987
81	583992	585764
81	591546	595976
81	598987	606097
81	608733	610967
81	612296	612653
81	622250	625136
81	677513	679164
81	695959	696026
81	720250	724302
81	725467	731782
81	779055	781423
81	791485	803418
81	804719	807503
81	812038	822374
81	824665	826346
81	829969	844227
81	882674	904782
81	927545	937374
81	945453	945922
81	964869	966239
81	994277	1005876
81	1051416	1058834
81	1060322	1067735
81	1083773	1088055
81	1089524	1093349
81	1098033	1099629
81	1100836	1105865
81	1107926	1108610
81	1159530	1180734
81	1183245	1195736
81	1199725	1200711
81	1219468	1221738
81	1227124	1228252
81	1231656	1234529
81	1236086	1236128
81	1240646	1246734
81	1259766	1263571
81	1265349	1267533
81	1268505	1269400
81	1270729	1278599
81	1281727	1284178
81	1292801	1297099
81	1300876	1302511
81	1307953	1309094
81	1313454	1313601
81	1316849	1319293
81	1326993	1330342
81	1417089	1423028
81	1426138	1427292
81	1434122	1439349
81	1463272	1473592
81	1478326	1478680
81	1491170	1491425
81	1495114	1500534
81	1504323	1505619
81	1506685	1514497
81	1517505	1520317
81	1523437	1524769
81	1525958	1526424
81	1592501	1596189
81	1602745	1620152
81	1628692	1629599
81	1638398	1638977
81	1639922	1641481
52	573803	576954
52	578462	578557
52	838903	857671
52	859633	870500
52	873513	877126
52	1455293	1455321
39	95245	96409
39	97451	103837
39	128239	132686
39	239078	239438
39	996747	998940
39	1002578	1021806
39	1081640	1087275
39	1109765	1122567
39	1260091	1260471
39	1266297	1266311
39	1267617	1267621
39	1270464	1271241
39	1272184	1273296
39	1458683	1467129
39	1496711	1502461
39	1638061	1640522
45	144475	146577
45	148672	149483
45	268618	270576
45	274245	285453
45	310010	318684
45	321917	323413
45	366428	366448
45	478795	480308
45	603786	605374
45	606598	606915
45	683494	684312
45	948154	949781
45	986597	987046
45	988189	988501
45	998979	1002280
45	1186592	1194339
45	1304918	1312986
45	1395149	1395807
45	1398196	1399427
45	1400298	1402630
45	1406987	1408461
45	1457396	1459049
45	1614594	1622991
45	1639963	1640949
56	171811	172462
56	177995	182218
56	986572	986578
56	1236205	1236214
56	1244772	1246588
56	1248908	1250365
56	1254387	1263542
56	1265495	1267506
56	1268487	1269340
56	1270726	1278532
56	1455228	1455243
92	1	414
92	1680	3109
92	25131	31525
92	33286	34137
92	47470	50018
92	52123	55244
92	58171	59228
92	68109	68704
92	80459	82186
92	239656	239816
92	466824	467631
92	496565	502532
92	519097	520452
92	708331	710856
92	749736	754572
92	991986	996206
92	997167	1001445
92	1186512	1192557
92	1193469	1196816
92	1200103	1200124
92	1341600	1348091
92	1382537	1389416
92	1391871	1392401
92	1419110	1424012
92	1511855	1514459
92	1638131	1638806
92	1639929	1640492
102	238958	239057
102	282813	283456
102	683554	688500
102	923728	925908
102	987247	988252
102	998331	1002197
102	1125764	1127953
102	1128867	1131263
102	1306029	1307076
102	1308339	1308526
102	1456020	1456707
102	1457777	1458473
102	1580821	1586774
102	1639961	1640198
84	239057	239099
84	598902	599236
84	807503	808958
84	1179055	1192294
84	1455245	1455248
90	56978	61585
90	742346	743917
90	847075	848287
90	849404	851340
90	896334	897514
90	986583	986594
90	1114244	1115870
90	1241732	1246594
90	1248845	1249771
90	1255143	1256751
90	1257997	1263536
90	1266101	1266434
90	1270795	1280360
90	1455223	1455386
90	1536782	1537347
90	1634341	1634662
90	1638061	1641078
91	8428	12467
91	14518	17239
91	211320	213573
91	1271840	1271854
181	6427	6909
181	29386	30292
181	49976	50123
181	53885	54941
181	55742	56001
181	58075	58372
181	62644	63364
181	142660	146577
181	148726	150360
181	198099	198504
181	199625	202016
181	204546	205133
181	206150	207187
181	210449	212831
181	215343	217835
181	241441	241965
181	262023	267971
181	269060	270505
181	274209	274761
181	278285	283693
181	287108	289689
181	290504	291738
181	294167	300446
181	463382	465055
181	466693	468440
181	507357	509171
181	514918	516095
181	593772	594377
181	598237	601186
181	602712	610764
181	616541	621743
181	640705	642678
181	824069	825379
181	872230	878061
181	878887	880526
181	961171	963462
181	979419	981915
181	1002611	1005087
181	1094093	1101170
181	1102254	1102764
181	1106081	1108100
181	1188246	1191116
181	1224676	1225056
181	1227160	1228099
181	1231439	1235351
181	1236662	1244514
181	1246042	1246643
181	1249004	1250568
181	1254618	1258656
181	1260037	1261404
181	1262319	1263137
181	1265495	1269364
181	1270969	1271184
181	1272387	1272526
181	1275120	1280835
181	1282171	1283871
181	1301395	1305414
181	1311056	1313819
181	1314706	1316639
181	1468706	1469885
181	1471021	1471879
181	1495372	1496485
181	1525994	1526517
181	1626837	1629268
181	1630936	1631719
181	1638040	1641481
4	744979	745001
4	1001771	1002055
4	1005196	1015265
4	1273669	1273683
70	18837	30032
70	32542	32970
70	167864	168151
70	239681	239735
70	585443	587406
70	591921	594279
70	649602	649611
70	840423	841553
70	873635	878061
70	878886	880441
70	882581	887429
70	888632	892101
70	1168254	1169606
70	1170582	1170605
70	1246042	1246643
70	1249445	1250568
70	1254143	1256735
70	1258061	1262171
70	1267218	1267233
70	1269355	1269367
70	1270969	1278553
70	1444364	1447121
70	1449005	1456767
54	58372	58948
54	65378	66528
54	76815	77950
54	83708	83903
54	266384	268445
54	399387	399749
54	491602	493462
54	495595	497277
54	498233	499414
54	680277	681395
54	687916	688684
54	708331	712226
54	745848	751442
54	983813	990858
54	992956	993596
54	1162962	1162971
54	1425239	1427403
54	1455227	1455319
54	1456679	1456686
54	1457625	1458798
54	1466331	1474528
NODE_24	1	1788
NODE_24	2869	4075
NODE_24	49976	50123
NODE_24	53819	54941
NODE_24	56198	56360
NODE_24	58075	58171
NODE_24	79287	90315
NODE_24	142338	146571
NODE_24	207229	207247
NODE_24	217157	217503
NODE_24	236346	238815
NODE_24	240788	245780
NODE_24	249578	250715
NODE_24	263868	267318
NODE_24	269316	270506
NODE_24	274197	275066
NODE_24	276268	285609
NODE_24	331101	336086
NODE_24	337528	338551
NODE_24	340443	341891
NODE_24	383983	385755
NODE_24	389101	393667
NODE_24	492469	500886
NODE_24	578434	587481
NODE_24	591817	595141
NODE_24	601894	606097
NODE_24	639241	642678
NODE_24	675992	681395
NODE_24	687916	688567
NODE_24	805746	810550
NODE_24	838513	840353
NODE_24	924335	930457
NODE_24	980884	982931
NODE_24	983813	1008632
NODE_24	1010225	1023213
NODE_24	1025429	1025784
NODE_24	1026737	1028962
NODE_24	1031378	1033898
NODE_24	1037303	1039044
NODE_24	1080165	1080808
NODE_24	1085985	1104156
NODE_24	1164389	1167251
NODE_24	1182916	1191116
NODE_24	1220936	1221257
NODE_24	1222645	1227838
NODE_24	1229491	1235493
NODE_24	1240882	1242657
NODE_24	1243664	1246588
